team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
marmaduke,C1,Mitch Garver,9,323.2,49.39669855968085,16.81510741623377,49.77514209597955,0.980706725782235,0.2342,NA,NA,NA,NA,NA,NA,-0.19032968247780754,9.355457912978755
marmaduke,C2,Luis Torrens,1,315,36.64055120877062,11.806678691904047,41.138593984257874,0.30078125,0.23725,NA,NA,NA,NA,NA,NA,-1.630959002265847,4.476837740276857
marmaduke,1B,Freddie Freeman,39,560.6,96.92093979869209,28.586770584005183,92.80035732969289,6.82465707052524,0.29419999999999996,NA,NA,NA,NA,NA,NA,7.872268166216214,26.6590480653775
marmaduke,2B,Ozzie Albies,17,589.6,95.0635679397435,26.53433683083801,86.11083425917607,17.136128293781223,0.2726,NA,NA,NA,NA,NA,NA,8.244003756714255,27.917912317135077
marmaduke,SS,,0,400,51,13.25,51,3.3,0.2365,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,3B,Alex Bregman,22,510.8,89.32047357265348,24.20465179633576,87.15067063726123,3.2294601908134553,0.2692,NA,NA,NA,NA,NA,NA,5.406008956195033,18.30718282991814
marmaduke,CI,Manny Machado,34,574.5,89.23209619577344,31.98882302820637,102.25671097803719,10.25303244576823,0.2755,NA,NA,NA,NA,NA,NA,8.283093913473296,28.05028920597057
marmaduke,MI,,0,400,51,13.25,51,3.3,0.2365,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,OF1,Jesse Winker,11,463.8,79.11568238872762,23.86241970648431,72.54825718721797,1.379141256299035,0.2832,NA,NA,NA,NA,NA,NA,4.488697347535426,15.200752287938867
marmaduke,OF2,Cedric Mullins,9,578.4,86.66391116279543,21.736450261702966,65.19983656308341,24.537196121716747,0.2574,NA,NA,NA,NA,NA,NA,7.168022070266085,24.274153378689906
marmaduke,OF3,Myles Straw,11,500.6,69.91113589394196,4.2137247552287,42.96078713580018,26.755102376059263,0.266,NA,NA,NA,NA,NA,NA,4.274434594324068,14.47516203670798
marmaduke,OF4,George Springer,32,502.4,93.64766490558324,31.033427021950413,81.10050937297854,5.80856930521728,0.2632,NA,NA,NA,NA,NA,NA,6.27299970433286,21.243204258409847
marmaduke,OF5,Tommy Pham,11,452.6,69.20750729762608,16.40296353877956,57.0153388466997,14.61026196482941,0.2538,NA,NA,NA,NA,NA,NA,3.7787358582131096,12.796502703348331
marmaduke,OF6,,0,400,51,13.25,51,3.3,0.2365,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,DH,,0,400,51,13.25,51,3.3,0.2365,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,P1,Corbin Burnes,6,NA,NA,NA,NA,NA,NA,172,3.11,1.07,0,12,221,12.63,22.47999999999999
marmaduke,P2,Emmanuel Clase,6,NA,NA,NA,NA,NA,NA,66.5,2.74,1.12,30,4,78,8.53,14.990000000000002
marmaduke,P3,Framber Valdez,11,NA,NA,NA,NA,NA,NA,180.5,3.68,1.34,0,12,168,6.95,12.110000000000003
marmaduke,P4,Clayton Kershaw,20,NA,NA,NA,NA,NA,NA,136,3.61,1.15,0,10,142,6.78,11.780000000000003
marmaduke,P5,Carlos Carrasco,5,NA,NA,NA,NA,NA,NA,136,4.11,1.26,0,9,139,4.58,7.770000000000001
marmaduke,P6,Nick Lodolo,2,NA,NA,NA,NA,NA,NA,37,4.23,1.28,0,2,39,-2.24,-4.6999999999999975
marmaduke,P7,,0,NA,NA,NA,NA,NA,NA,73,4.75,1.368,0.42,4.8,94.7,NA,NA
marmaduke,P8,,0,NA,NA,NA,NA,NA,NA,73,4.75,1.368,0.42,4.8,94.7,NA,NA
marmaduke,P9,,0,NA,NA,NA,NA,NA,NA,73,4.75,1.368,0.42,4.8,94.7,NA,NA
marmaduke,P10,,0,NA,NA,NA,NA,NA,NA,73,4.75,1.368,0.42,4.8,94.7,NA,NA
marmaduke,B1,Elijah Green,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B2,Jordan Lawlar,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B3,Aaron Ashby,1,NA,NA,NA,NA,NA,NA,79.5,3.55,1.29,0,5,94,NA,NA
marmaduke,B4,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B5,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
